Indicator,2017,Country ISO3,id
Poor Work Ethic in Labor Force,3.9,LBN,3281.0
Restrictive Labor Regulations,3.5,LBN,3289.0
Access to Financing,3.4,LBN,3275.0
Tax Regulations,3.1,LBN,3283.0
Inadequately Educated Workforce,2.2,LBN,3278.0
Insufficient Capacity to Innovate,1.8,LBN,
Crime and Theft,1.3,LBN,3284.0
Foreign Currency Regulations,1.0,LBN,3285.0
Poor Public Health,0.8,LBN,3288.0
Access to Financing,31.6,LSO,3275.0
Corruption,23.2,LSO,3276.0
Government Instability/Coups,12.7,LSO,3286.0
Inadequate Supply of Infrastructure,12.0,LSO,3277.0
Inefficient Government Bureaucracy,7.3,LSO,3279.0
Policy Instability,5.3,LSO,3280.0
Insufficient Capacity to Innovate,3.2,LSO,
Crime and Theft,1.8,LSO,3284.0
Inadequately Educated Workforce,1.2,LSO,3278.0
Tax Rates,0.6,LSO,3282.0
Poor Work Ethic in Labor Force,0.6,LSO,3281.0
Tax Regulations,0.4,LSO,3283.0
Poor Public Health,0.1,LSO,3288.0
Restrictive Labor Regulations,0.0,LSO,3289.0
Inflation,0.0,LSO,3287.0
Foreign Currency Regulations,0.0,LSO,3285.0
Access to Financing,15.8,LBR,3275.0
Tax Rates,11.1,LBR,3282.0
Corruption,10.9,LBR,3276.0
Poor Work Ethic in Labor Force,10.8,LBR,3281.0
Inadequate Supply of Infrastructure,10.7,LBR,3277.0
Inadequately Educated Workforce,7.9,LBR,3278.0
Inefficient Government Bureaucracy,6.1,LBR,3279.0
Foreign Currency Regulations,5.4,LBR,3285.0
Crime and Theft,4.6,LBR,3284.0
Tax Regulations,4.4,LBR,3283.0
Inflation,4.4,LBR,3287.0
Poor Public Health,3.4,LBR,3288.0
Insufficient Capacity to Innovate,2.5,LBR,
Restrictive Labor Regulations,1.3,LBR,3289.0
Government Instability/Coups,0.5,LBR,3286.0
Policy Instability,0.1,LBR,3280.0
Tax Rates,17.6,LTU,3282.0
Inefficient Government Bureaucracy,15.6,LTU,3279.0
Restrictive Labor Regulations,13.2,LTU,3289.0
Tax Regulations,11.7,LTU,3283.0
Inadequately Educated Workforce,9.7,LTU,3278.0
Access to Financing,5.3,LTU,3275.0
Policy Instability,5.2,LTU,3280.0
Government Instability/Coups,4.7,LTU,3286.0
Corruption,4.6,LTU,3276.0
Insufficient Capacity to Innovate,3.7,LTU,
Poor Work Ethic in Labor Force,3.2,LTU,3281.0
Inadequate Supply of Infrastructure,2.6,LTU,3277.0
Inflation,1.6,LTU,3287.0
Poor Public Health,0.8,LTU,3288.0
Crime and Theft,0.3,LTU,3284.0
Foreign Currency Regulations,0.0,LTU,3285.0
Inadequately Educated Workforce,23.5,LUX,3278.0
Restrictive Labor Regulations,18.9,LUX,3289.0
Inefficient Government Bureaucracy,11.1,LUX,3279.0
Inadequate Supply of Infrastructure,9.8,LUX,3277.0
Insufficient Capacity to Innovate,8.7,LUX,
Tax Regulations,8.3,LUX,3283.0
Access to Financing,6.1,LUX,3275.0
Tax Rates,4.8,LUX,3282.0
Poor Work Ethic in Labor Force,3.9,LUX,3281.0
Inflation,3.9,LUX,3287.0
Corruption,0.9,LUX,3276.0
Foreign Currency Regulations,0.2,LUX,3285.0
Poor Public Health,0.0,LUX,3288.0
Policy Instability,0.0,LUX,3280.0
Government Instability/Coups,0.0,LUX,3286.0
Crime and Theft,0.0,LUX,3284.0
Government Instability/Coups,12.2,MDG,3286.0
Access to Financing,11.8,MDG,3275.0
Policy Instability,10.6,MDG,3280.0
Tax Rates,9.7,MDG,3282.0
Corruption,9.2,MDG,3276.0
Crime and Theft,7.2,MDG,3284.0
Inadequately Educated Workforce,6.6,MDG,3278.0
Inadequate Supply of Infrastructure,6.1,MDG,3277.0
Inflation,6.0,MDG,3287.0
Poor Work Ethic in Labor Force,5.4,MDG,3281.0
Tax Regulations,5.3,MDG,3283.0
Foreign Currency Regulations,3.0,MDG,3285.0
Restrictive Labor Regulations,2.6,MDG,3289.0
Insufficient Capacity to Innovate,2.4,MDG,
Poor Public Health,1.2,MDG,3288.0
Inefficient Government Bureaucracy,0.7,MDG,3279.0
Corruption,19.7,MWI,3276.0
Access to Financing,13.0,MWI,3275.0
Tax Rates,12.5,MWI,3282.0
Inflation,11.7,MWI,3287.0
Inadequate Supply of Infrastructure,8.4,MWI,3277.0
Inefficient Government Bureaucracy,7.8,MWI,3279.0
Policy Instability,7.0,MWI,3280.0
Inadequately Educated Workforce,4.7,MWI,3278.0
Poor Work Ethic in Labor Force,3.8,MWI,3281.0
Crime and Theft,3.8,MWI,3284.0
Foreign Currency Regulations,3.4,MWI,3285.0
Government Instability/Coups,1.6,MWI,3286.0
Insufficient Capacity to Innovate,1.3,MWI,
Tax Regulations,0.9,MWI,3283.0
Restrictive Labor Regulations,0.4,MWI,3289.0
Poor Public Health,0.2,MWI,3288.0
Access to Financing,12.5,MYS,3275.0
Foreign Currency Regulations,9.2,MYS,3285.0
Inefficient Government Bureaucracy,8.9,MYS,3279.0
Inflation,8.5,MYS,3287.0
Tax Rates,7.9,MYS,3282.0
Corruption,7.4,MYS,3276.0
Inadequately Educated Workforce,7.0,MYS,3278.0
Government Instability/Coups,6.4,MYS,3286.0
Poor Work Ethic in Labor Force,6.1,MYS,3281.0
Restrictive Labor Regulations,5.9,MYS,3289.0
Insufficient Capacity to Innovate,5.4,MYS,
Policy Instability,4.8,MYS,3280.0
Tax Regulations,4.5,MYS,3283.0
Inadequate Supply of Infrastructure,4.3,MYS,3277.0
Crime and Theft,0.9,MYS,3284.0
Poor Public Health,0.4,MYS,3288.0
Access to Financing,22.2,MLI,3275.0
Corruption,14.7,MLI,3276.0
Inefficient Government Bureaucracy,12.0,MLI,3279.0
Policy Instability,9.9,MLI,3280.0
Tax Rates,7.1,MLI,3282.0
Inadequate Supply of Infrastructure,6.9,MLI,3277.0
Government Instability/Coups,6.1,MLI,3286.0
Crime and Theft,4.0,MLI,3284.0
Insufficient Capacity to Innovate,3.9,MLI,
Inadequately Educated Workforce,3.9,MLI,3278.0
Poor Work Ethic in Labor Force,2.6,MLI,3281.0
Tax Regulations,2.5,MLI,3283.0
Foreign Currency Regulations,1.9,MLI,3285.0
Restrictive Labor Regulations,1.5,MLI,3289.0
Inflation,0.7,MLI,3287.0
Poor Public Health,0.1,MLI,3288.0
Inefficient Government Bureaucracy,14.6,MLT,3279.0
Insufficient Capacity to Innovate,12.4,MLT,
Inadequate Supply of Infrastructure,11.7,MLT,3277.0
Access to Financing,11.7,MLT,3275.0
Inadequately Educated Workforce,11.2,MLT,3278.0
Poor Work Ethic in Labor Force,9.8,MLT,3281.0
Corruption,7.9,MLT,3276.0
Restrictive Labor Regulations,5.0,MLT,3289.0
Tax Rates,4.0,MLT,3282.0
Tax Regulations,3.7,MLT,3283.0
Policy Instability,3.0,MLT,3280.0
Government Instability/Coups,2.3,MLT,3286.0
Foreign Currency Regulations,2.0,MLT,3285.0
Inflation,0.7,MLT,3287.0
Poor Public Health,0.1,MLT,3288.0
Crime and Theft,0.0,MLT,3284.0
Access to Financing,25.9,MRT,3275.0
Corruption,21.9,MRT,3276.0
Tax Rates,19.7,MRT,3282.0
Inflation,11.1,MRT,3287.0
Inefficient Government Bureaucracy,5.7,MRT,3279.0
Policy Instability,3.0,MRT,3280.0
Inadequate Supply of Infrastructure,2.8,MRT,3277.0
Inadequately Educated Workforce,2.7,MRT,3278.0
Poor Work Ethic in Labor Force,1.7,MRT,3281.0
Government Instability/Coups,1.6,MRT,3286.0
Foreign Currency Regulations,1.1,MRT,3285.0
Tax Regulations,1.0,MRT,3283.0
Restrictive Labor Regulations,0.7,MRT,3289.0
Insufficient Capacity to Innovate,0.6,MRT,
Crime and Theft,0.5,MRT,3284.0
Poor Public Health,0.0,MRT,3288.0
Inefficient Government Bureaucracy,21.2,MUS,3279.0
Insufficient Capacity to Innovate,13.3,MUS,
Inadequately Educated Workforce,11.8,MUS,3278.0
Access to Financing,10.0,MUS,3275.0
Inadequate Supply of Infrastructure,9.8,MUS,3277.0
Poor Work Ethic in Labor Force,9.5,MUS,3281.0
Corruption,7.7,MUS,3276.0
Policy Instability,4.2,MUS,3280.0
Restrictive Labor Regulations,2.9,MUS,3289.0
Government Instability/Coups,2.7,MUS,3286.0
Inflation,2.2,MUS,3287.0
Tax Regulations,1.1,MUS,3283.0
Crime and Theft,1.1,MUS,3284.0
Tax Rates,1.0,MUS,3282.0
Foreign Currency Regulations,0.8,MUS,3285.0
Poor Public Health,0.7,MUS,3288.0
Corruption,20.2,MEX,3276.0
Crime and Theft,12.9,MEX,3284.0
Inefficient Government Bureaucracy,12.1,MEX,3279.0
Tax Rates,9.2,MEX,3282.0
Tax Regulations,7.5,MEX,3283.0
Access to Financing,7.1,MEX,3275.0
Inadequate Supply of Infrastructure,5.5,MEX,3277.0
Inadequately Educated Workforce,4.8,MEX,3278.0
Policy Instability,3.9,MEX,3280.0
Insufficient Capacity to Innovate,3.3,MEX,
Government Instability/Coups,3.3,MEX,3286.0
Restrictive Labor Regulations,3.1,MEX,3289.0
Inflation,2.7,MEX,3287.0
Poor Work Ethic in Labor Force,2.6,MEX,3281.0
Foreign Currency Regulations,0.9,MEX,3285.0
Poor Public Health,0.8,MEX,3288.0
Corruption,20.7,MDA,3276.0
Policy Instability,13.5,MDA,3280.0
Government Instability/Coups,9.4,MDA,3286.0
Access to Financing,8.7,MDA,3275.0
Inefficient Government Bureaucracy,7.9,MDA,3279.0
Inadequate Supply of Infrastructure,7.5,MDA,3277.0
Inadequately Educated Workforce,7.0,MDA,3278.0
Tax Rates,5.4,MDA,3282.0
Inflation,4.1,MDA,3287.0
Tax Regulations,3.8,MDA,3283.0
Restrictive Labor Regulations,3.2,MDA,3289.0
Foreign Currency Regulations,2.8,MDA,3285.0
Insufficient Capacity to Innovate,2.3,MDA,
Poor Work Ethic in Labor Force,1.9,MDA,3281.0
Crime and Theft,1.2,MDA,3284.0
Poor Public Health,0.6,MDA,3288.0
Foreign Currency Regulations,11.2,MNG,3285.0
Corruption,11.2,MNG,3276.0
Policy Instability,10.5,MNG,3280.0
Inefficient Government Bureaucracy,10.2,MNG,3279.0
Government Instability/Coups,9.8,MNG,3286.0
Inadequately Educated Workforce,8.2,MNG,3278.0
Access to Financing,7.7,MNG,3275.0
Inflation,7.4,MNG,3287.0
Tax Rates,6.8,MNG,3282.0
Tax Regulations,4.9,MNG,3283.0
Inadequate Supply of Infrastructure,3.5,MNG,3277.0
Restrictive Labor Regulations,3.0,MNG,3289.0
Poor Work Ethic in Labor Force,3.0,MNG,3281.0
Insufficient Capacity to Innovate,1.7,MNG,
Poor Public Health,0.4,MNG,3288.0
Crime and Theft,0.2,MNG,3284.0
Access to Financing,16.4,MNE,3275.0
Inefficient Government Bureaucracy,13.2,MNE,3279.0
Corruption,10.0,MNE,3276.0
Inadequate Supply of Infrastructure,9.6,MNE,3277.0
Inadequately Educated Workforce,8.4,MNE,3278.0
Restrictive Labor Regulations,8.4,MNE,3289.0
Tax Rates,7.1,MNE,3282.0
Tax Regulations,6.7,MNE,3283.0
Poor Work Ethic in Labor Force,5.9,MNE,3281.0
Insufficient Capacity to Innovate,5.2,MNE,
Policy Instability,3.2,MNE,3280.0
Poor Public Health,1.8,MNE,3288.0
Crime and Theft,1.8,MNE,3284.0
Government Instability/Coups,1.5,MNE,3286.0
Foreign Currency Regulations,0.7,MNE,3285.0
Inflation,0.3,MNE,3287.0
Corruption,15.1,MAR,3276.0
Inefficient Government Bureaucracy,13.8,MAR,3279.0
Access to Financing,11.4,MAR,3275.0
Tax Rates,10.8,MAR,3282.0
Inadequately Educated Workforce,10.3,MAR,3278.0
Insufficient Capacity to Innovate,8.1,MAR,
Tax Regulations,5.9,MAR,3283.0
Inadequate Supply of Infrastructure,5.4,MAR,3277.0
Poor Work Ethic in Labor Force,5.0,MAR,3281.0
Restrictive Labor Regulations,4.5,MAR,3289.0
Foreign Currency Regulations,2.9,MAR,3285.0
Policy Instability,2.0,MAR,3280.0
Poor Public Health,1.5,MAR,3288.0
Inflation,1.2,MAR,3287.0
Crime and Theft,1.2,MAR,3284.0
Government Instability/Coups,0.9,MAR,3286.0
Access to Financing,18.2,MOZ,3275.0
Corruption,14.7,MOZ,3276.0
Inefficient Government Bureaucracy,11.5,MOZ,3279.0
Inadequately Educated Workforce,8.2,MOZ,3278.0
Policy Instability,7.0,MOZ,3280.0
Inadequate Supply of Infrastructure,6.3,MOZ,3277.0
Restrictive Labor Regulations,5.7,MOZ,3289.0
Inflation,5.7,MOZ,3287.0
Tax Rates,4.3,MOZ,3282.0
Crime and Theft,4.0,MOZ,3284.0
Poor Work Ethic in Labor Force,4.0,MOZ,3281.0
Foreign Currency Regulations,3.7,MOZ,3285.0
Government Instability/Coups,3.5,MOZ,3286.0
Poor Public Health,1.5,MOZ,3288.0
Insufficient Capacity to Innovate,1.3,MOZ,
Tax Regulations,0.5,MOZ,3283.0
Access to Financing,15.0,NAM,3275.0
Inadequately Educated Workforce,14.4,NAM,3278.0
Inefficient Government Bureaucracy,11.1,NAM,3279.0
Corruption,10.6,NAM,3276.0
Poor Work Ethic in Labor Force,9.3,NAM,3281.0
Insufficient Capacity to Innovate,7.0,NAM,
Crime and Theft,4.9,NAM,3284.0
Tax Rates,4.6,NAM,3282.0
Inadequate Supply of Infrastructure,4.1,NAM,3277.0
Inflation,3.6,NAM,3287.0
Restrictive Labor Regulations,3.4,NAM,3289.0
Policy Instability,3.2,NAM,3280.0
Foreign Currency Regulations,3.2,NAM,3285.0
Tax Regulations,2.6,NAM,3283.0
Government Instability/Coups,1.6,NAM,3286.0
Poor Public Health,1.4,NAM,3288.0
Government Instability/Coups,18.3,NPL,3286.0
Inefficient Government Bureaucracy,13.9,NPL,3279.0
Inadequate Supply of Infrastructure,11.2,NPL,3277.0
Policy Instability,9.1,NPL,3280.0
Corruption,9.1,NPL,3276.0
Access to Financing,8.3,NPL,3275.0
Poor Work Ethic in Labor Force,6.3,NPL,3281.0
Restrictive Labor Regulations,5.2,NPL,3289.0
Inadequately Educated Workforce,4.3,NPL,3278.0
Insufficient Capacity to Innovate,3.4,NPL,
Foreign Currency Regulations,2.6,NPL,3285.0
Tax Rates,2.5,NPL,3282.0
Tax Regulations,2.5,NPL,3283.0
Inflation,2.1,NPL,3287.0
Poor Public Health,0.7,NPL,3288.0
Crime and Theft,0.4,NPL,3284.0
Restrictive Labor Regulations,18.0,NLD,3289.0
Inefficient Government Bureaucracy,15.5,NLD,3279.0
Tax Rates,13.1,NLD,3282.0
Inadequately Educated Workforce,11.3,NLD,3278.0
Tax Regulations,10.2,NLD,3283.0
Insufficient Capacity to Innovate,8.8,NLD,
Access to Financing,8.6,NLD,3275.0
Policy Instability,3.2,NLD,3280.0
Crime and Theft,2.7,NLD,3284.0
Poor Work Ethic in Labor Force,2.6,NLD,3281.0
Inadequate Supply of Infrastructure,2.0,NLD,3277.0
Government Instability/Coups,1.6,NLD,3286.0
Foreign Currency Regulations,0.8,NLD,3285.0
Inflation,0.7,NLD,3287.0
Corruption,0.6,NLD,3276.0
Poor Public Health,0.2,NLD,3288.0
Inadequate Supply of Infrastructure,20.3,NZL,3277.0
Inefficient Government Bureaucracy,15.6,NZL,3279.0
Insufficient Capacity to Innovate,13.4,NZL,
Inadequately Educated Workforce,11.1,NZL,3278.0
Access to Financing,8.6,NZL,3275.0
Restrictive Labor Regulations,8.4,NZL,3289.0
Tax Rates,7.5,NZL,3282.0
Poor Work Ethic in Labor Force,6.1,NZL,3281.0
Tax Regulations,3.6,NZL,3283.0
Poor Public Health,3.3,NZL,3288.0
Policy Instability,1.4,NZL,3280.0
Crime and Theft,0.6,NZL,3284.0
Inflation,0.0,NZL,3287.0
Government Instability/Coups,0.0,NZL,3286.0
Foreign Currency Regulations,0.0,NZL,3285.0
Corruption,0.0,NZL,3276.0
Inefficient Government Bureaucracy,19.1,NIC,3279.0
Corruption,15.7,NIC,3276.0
Inadequately Educated Workforce,9.8,NIC,3278.0
Policy Instability,8.7,NIC,3280.0
Access to Financing,8.6,NIC,3275.0
Inadequate Supply of Infrastructure,7.6,NIC,3277.0
Tax Rates,6.7,NIC,3282.0
Insufficient Capacity to Innovate,6.5,NIC,
Tax Regulations,3.6,NIC,3283.0
Poor Work Ethic in Labor Force,3.4,NIC,3281.0
Government Instability/Coups,3.4,NIC,3286.0
Restrictive Labor Regulations,2.7,NIC,3289.0
Poor Public Health,2.2,NIC,3288.0
Crime and Theft,1.0,NIC,3284.0
Inflation,0.6,NIC,3287.0
Foreign Currency Regulations,0.4,NIC,3285.0
Inadequate Supply of Infrastructure,20.2,NGA,3277.0
Foreign Currency Regulations,13.9,NGA,3285.0
Access to Financing,13.0,NGA,3275.0
Corruption,12.4,NGA,3276.0
Inefficient Government Bureaucracy,9.3,NGA,3279.0
Policy Instability,9.2,NGA,3280.0
Inflation,4.8,NGA,3287.0
Government Instability/Coups,4.4,NGA,3286.0
Inadequately Educated Workforce,3.8,NGA,3278.0
Tax Regulations,2.0,NGA,3283.0
Crime and Theft,1.9,NGA,3284.0
Tax Rates,1.8,NGA,3282.0
Poor Work Ethic in Labor Force,1.8,NGA,3281.0
Insufficient Capacity to Innovate,1.2,NGA,
Poor Public Health,0.3,NGA,3288.0
Restrictive Labor Regulations,0.0,NGA,3289.0
Tax Rates,20.3,NOR,3282.0
Insufficient Capacity to Innovate,17.0,NOR,
Restrictive Labor Regulations,14.2,NOR,3289.0
Access to Financing,14.0,NOR,3275.0
Inefficient Government Bureaucracy,10.1,NOR,3279.0
Tax Regulations,8.5,NOR,3283.0
Inadequate Supply of Infrastructure,6.1,NOR,3277.0
Policy Instability,2.4,NOR,3280.0
Poor Work Ethic in Labor Force,2.2,NOR,3281.0
Inadequately Educated Workforce,1.6,NOR,3278.0
Government Instability/Coups,1.4,NOR,3286.0
Foreign Currency Regulations,1.4,NOR,3285.0
Inflation,0.4,NOR,3287.0
Corruption,0.2,NOR,3276.0
Poor Public Health,0.0,NOR,3288.0
Crime and Theft,0.0,NOR,3284.0
Restrictive Labor Regulations,19.2,OMN,3289.0
Inadequately Educated Workforce,17.5,OMN,3278.0
Access to Financing,13.8,OMN,3275.0
Inefficient Government Bureaucracy,13.4,OMN,3279.0
Insufficient Capacity to Innovate,7.6,OMN,
Poor Work Ethic in Labor Force,6.6,OMN,3281.0
Inadequate Supply of Infrastructure,4.4,OMN,3277.0
Foreign Currency Regulations,3.7,OMN,3285.0
Tax Rates,3.5,OMN,3282.0
Inflation,2.4,OMN,3287.0
Corruption,2.4,OMN,3276.0
Tax Regulations,2.2,OMN,3283.0
Policy Instability,1.7,OMN,3280.0
Government Instability/Coups,1.0,OMN,3286.0
Poor Public Health,0.3,OMN,3288.0
Crime and Theft,0.3,OMN,3284.0
Corruption,17.0,PAK,3276.0
Tax Rates,10.5,PAK,3282.0
Government Instability/Coups,8.2,PAK,3286.0
Crime and Theft,7.2,PAK,3284.0
Inefficient Government Bureaucracy,7.0,PAK,3279.0
Poor Work Ethic in Labor Force,6.6,PAK,3281.0
Access to Financing,6.5,PAK,3275.0
Policy Instability,5.8,PAK,3280.0
Poor Public Health,5.3,PAK,3288.0
Tax Regulations,5.1,PAK,3283.0
Inadequate Supply of Infrastructure,4.4,PAK,3277.0
Insufficient Capacity to Innovate,4.3,PAK,
Foreign Currency Regulations,3.8,PAK,3285.0
Inadequately Educated Workforce,3.7,PAK,3278.0
Inflation,2.5,PAK,3287.0
Restrictive Labor Regulations,2.3,PAK,3289.0
Inefficient Government Bureaucracy,17.9,PAN,3279.0
Corruption,14.6,PAN,3276.0
Inadequately Educated Workforce,14.2,PAN,3278.0
Restrictive Labor Regulations,9.9,PAN,3289.0
Poor Work Ethic in Labor Force,8.0,PAN,3281.0
Crime and Theft,5.6,PAN,3284.0
Government Instability/Coups,4.9,PAN,3286.0
Access to Financing,4.7,PAN,3275.0
Policy Instability,4.0,PAN,3280.0
Insufficient Capacity to Innovate,3.8,PAN,
Tax Regulations,2.7,PAN,3283.0
Inadequate Supply of Infrastructure,2.6,PAN,3277.0
Tax Rates,2.5,PAN,3282.0
Inflation,2.3,PAN,3287.0
Poor Public Health,2.0,PAN,3288.0
Foreign Currency Regulations,0.5,PAN,3285.0
Corruption,18.4,PRY,3276.0
Inadequately Educated Workforce,13.5,PRY,3278.0
Inefficient Government Bureaucracy,12.5,PRY,3279.0
Inadequate Supply of Infrastructure,12.5,PRY,3277.0
Access to Financing,10.4,PRY,3275.0
Policy Instability,6.1,PRY,3280.0
Poor Work Ethic in Labor Force,4.4,PRY,3281.0
Insufficient Capacity to Innovate,4.2,PRY,
Crime and Theft,4.0,PRY,3284.0
Government Instability/Coups,3.6,PRY,3286.0
Poor Public Health,3.4,PRY,3288.0
Restrictive Labor Regulations,2.8,PRY,3289.0
Tax Regulations,2.2,PRY,3283.0
Tax Rates,0.8,PRY,3282.0
Foreign Currency Regulations,0.8,PRY,3285.0
Inflation,0.5,PRY,3287.0
Corruption,18.0,PER,3276.0
Inefficient Government Bureaucracy,13.9,PER,3279.0
Tax Rates,10.0,PER,3282.0
Inadequate Supply of Infrastructure,8.8,PER,3277.0
Restrictive Labor Regulations,8.3,PER,3289.0
Crime and Theft,8.0,PER,3284.0
Inadequately Educated Workforce,6.8,PER,3278.0
Access to Financing,5.5,PER,3275.0
Tax Regulations,4.8,PER,3283.0
Government Instability/Coups,3.8,PER,3286.0
Poor Work Ethic in Labor Force,3.7,PER,3281.0
Insufficient Capacity to Innovate,3.3,PER,
Policy Instability,3.2,PER,3280.0
Inflation,1.0,PER,3287.0
Poor Public Health,0.8,PER,3288.0
Foreign Currency Regulations,0.1,PER,3285.0
Inefficient Government Bureaucracy,19.7,PHL,3279.0
Inadequate Supply of Infrastructure,17.9,PHL,3277.0
Corruption,13.7,PHL,3276.0
Tax Regulations,10.9,PHL,3283.0
Tax Rates,8.9,PHL,3282.0
Policy Instability,7.6,PHL,3280.0
Access to Financing,4.9,PHL,3275.0
Government Instability/Coups,3.2,PHL,3286.0
Restrictive Labor Regulations,3.0,PHL,3289.0
Poor Work Ethic in Labor Force,2.6,PHL,3281.0
Insufficient Capacity to Innovate,2.3,PHL,
Inadequately Educated Workforce,2.1,PHL,3278.0
Crime and Theft,1.8,PHL,3284.0
Foreign Currency Regulations,0.9,PHL,3285.0
Inflation,0.4,PHL,3287.0
Poor Public Health,0.1,PHL,3288.0
Tax Regulations,17.6,POL,3283.0
Tax Rates,13.8,POL,3282.0
Restrictive Labor Regulations,12.5,POL,3289.0
Policy Instability,11.5,POL,3280.0
Inefficient Government Bureaucracy,8.4,POL,3279.0
Inadequately Educated Workforce,7.0,POL,3278.0
Access to Financing,6.9,POL,3275.0
Government Instability/Coups,6.5,POL,3286.0
Inadequate Supply of Infrastructure,4.0,POL,3277.0
Insufficient Capacity to Innovate,3.3,POL,
Poor Work Ethic in Labor Force,3.3,POL,3281.0
Poor Public Health,1.5,POL,3288.0
Corruption,1.5,POL,3276.0
Foreign Currency Regulations,0.8,POL,3285.0
Crime and Theft,0.7,POL,3284.0
Inflation,0.6,POL,3287.0
Inefficient Government Bureaucracy,19.1,PRT,3279.0
Tax Rates,18.7,PRT,3282.0
Restrictive Labor Regulations,13.8,PRT,3289.0
Policy Instability,13.1,PRT,3280.0
Access to Financing,10.2,PRT,3275.0
Tax Regulations,6.5,PRT,3283.0
Insufficient Capacity to Innovate,4.8,PRT,
Inadequately Educated Workforce,4.5,PRT,3278.0
Corruption,3.2,PRT,3276.0
Government Instability/Coups,2.8,PRT,3286.0
Inadequate Supply of Infrastructure,1.2,PRT,3277.0
Poor Work Ethic in Labor Force,1.2,PRT,3281.0
Inflation,0.5,PRT,3287.0
Foreign Currency Regulations,0.3,PRT,3285.0
Poor Public Health,0.1,PRT,3288.0
Crime and Theft,0.0,PRT,3284.0
Access to Financing,21.7,QAT,3275.0
Restrictive Labor Regulations,17.9,QAT,3289.0
Inadequately Educated Workforce,12.9,QAT,3278.0
Inadequate Supply of Infrastructure,10.6,QAT,3277.0
Inflation,7.8,QAT,3287.0
Insufficient Capacity to Innovate,7.7,QAT,
Inefficient Government Bureaucracy,7.7,QAT,3279.0
Poor Work Ethic in Labor Force,4.3,QAT,3281.0
Poor Public Health,3.8,QAT,3288.0
Policy Instability,2.3,QAT,3280.0
Foreign Currency Regulations,1.4,QAT,3285.0
Corruption,1.3,QAT,3276.0
Tax Regulations,0.6,QAT,3283.0
Tax Rates,0.0,QAT,3282.0
Government Instability/Coups,0.0,QAT,3286.0
Crime and Theft,0.0,QAT,3284.0
Tax Rates,13.0,ROU,3282.0
Inefficient Government Bureaucracy,12.9,ROU,3279.0
Access to Financing,11.9,ROU,3275.0
Inadequately Educated Workforce,11.9,ROU,3278.0
Corruption,11.7,ROU,3276.0
Inadequate Supply of Infrastructure,10.1,ROU,3277.0
Poor Work Ethic in Labor Force,6.5,ROU,3281.0
Policy Instability,6.1,ROU,3280.0
Government Instability/Coups,4.3,ROU,3286.0
Tax Regulations,3.1,ROU,3283.0
